time[d],date,hour,debug1,debug2,debug3,debug4,debug5
1,1960-10-02,00:00:00.00,0.331291,0,0,0,582.358
2,1960-10-03,00:00:00.00,0.331291,0,0,0,582.358
3,1960-10-04,00:00:00.00,0.331291,0,0,0,582.358
4,1960-10-05,00:00:00.00,0.331291,0,0,0,582.358
5,1960-10-06,00:00:00.00,0.331291,0,0,0,582.358
6,1960-10-07,00:00:00.00,0.420215,0,0,0,582.358
7,1960-10-08,00:00:00.00,0.331291,0,0,0,582.358
8,1960-10-09,00:00:00.00,0.331291,0,0,0,582.358
9,1960-10-10,00:00:00.00,0.331291,0,0,0,582.358
10,1960-10-11,00:00:00.00,0.331291,0,0,0,582.358
11,1960-10-12,00:00:00.00,0.331291,0,0,0,582.358
12,1960-10-13,00:00:00.00,0.331291,0,0,0,582.358
13,1960-10-14,00:00:00.00,0.331291,0,0,0,582.358
14,1960-10-15,00:00:00.00,0.331291,0,0,0,582.358
15,1960-10-16,00:00:00.00,0.331291,0,0,0,582.358
16,1960-10-17,00:00:00.00,0.331291,0,0,0,582.358
17,1960-10-18,00:00:00.00,0.331291,0,0,0,582.358
18,1960-10-19,00:00:00.00,0.331291,0,0,0,582.358
19,1960-10-20,00:00:00.00,0.331291,0,0,0,582.358
20,1960-10-21,00:00:00.00,0.459012,0,0,0,582.358
21,1960-10-22,00:00:00.00,0.447267,0,0,0,582.358
22,1960-10-23,00:00:00.00,0.331291,0,0,0,582.358
23,1960-10-24,00:00:00.00,0.429978,0,0,0,582.358
24,1960-10-25,00:00:00.00,0.331291,0,0,0,582.358
25,1960-10-26,00:00:00.00,0.421133,0,0,0,582.358
26,1960-10-27,00:00:00.00,0.331291,0,0,0,582.358
27,1960-10-28,00:00:00.00,0.440405,0,0,0,582.358
28,1960-10-29,00:00:00.00,0.331291,0,0,0,582.358
29,1960-10-30,00:00:00.00,0.331291,0,0,0,582.358
30,1960-10-31,00:00:00.00,0.331291,0,0,0,582.358
31,1960-11-01,00:00:00.00,0.331291,0,0,0,582.358
32,1960-11-02,00:00:00.00,0.331291,0,0,0,582.358
33,1960-11-03,00:00:00.00,0.331291,0,0,0,582.358
34,1960-11-04,00:00:00.00,0.331291,0,0,0,582.358
35,1960-11-05,00:00:00.00,0.331291,0,0,0,582.358
36,1960-11-06,00:00:00.00,0.331291,0,0,0,582.358
37,1960-11-07,00:00:00.00,0.331291,0,0,0,582.358
38,1960-11-08,00:00:00.00,0.331291,0,0,0,582.358
39,1960-11-09,00:00:00.00,0.331291,0,0,0,582.358
40,1960-11-10,00:00:00.00,0.331291,0,0,0,582.358
41,1960-11-11,00:00:00.00,0.331291,0,0,0,582.358
42,1960-11-12,00:00:00.00,0.331291,0,0,0,582.358
43,1960-11-13,00:00:00.00,0.331291,0,0,0,582.358
44,1960-11-14,00:00:00.00,0.331291,0,0,0,582.358
45,1960-11-15,00:00:00.00,0.331291,0,0,0,582.358
46,1960-11-16,00:00:00.00,0.331291,0,0,0,582.358
47,1960-11-17,00:00:00.00,0.331291,0,0,0,582.358
48,1960-11-18,00:00:00.00,0.362251,0,0,0,582.358
49,1960-11-19,00:00:00.00,0.351017,0,0,0,582.358
50,1960-11-20,00:00:00.00,0.331291,0,0,0,582.358
51,1960-11-21,00:00:00.00,0.331291,0,0,0,582.358
52,1960-11-22,00:00:00.00,0.331291,0,0,0,582.358
53,1960-11-23,00:00:00.00,0.331291,0,0,0,582.358
54,1960-11-24,00:00:00.00,0.331291,0,0,0,582.358
55,1960-11-25,00:00:00.00,0.331291,0,0,0,582.358
56,1960-11-26,00:00:00.00,0.331291,0,0,0,582.358
57,1960-11-27,00:00:00.00,0.331291,0,0,0,582.358
58,1960-11-28,00:00:00.00,0.331291,0,0,0,582.358
59,1960-11-29,00:00:00.00,0.331291,0,0,0,582.358
60,1960-11-30,00:00:00.00,0.331291,0,0,0,582.358
61,1960-12-01,00:00:00.00,0.331291,0,0,0,582.358
62,1960-12-02,00:00:00.00,0.331291,0,0,0,582.358
63,1960-12-03,00:00:00.00,0.331291,0,0,0,582.358
64,1960-12-04,00:00:00.00,0.331291,0,0,0,582.358
65,1960-12-05,00:00:00.00,0.331291,0,0,0,582.358
66,1960-12-06,00:00:00.00,0.331291,0,0,0,582.358
67,1960-12-07,00:00:00.00,0.331291,0,0,0,582.358
68,1960-12-08,00:00:00.00,0.331291,0,0,0,582.358
69,1960-12-09,00:00:00.00,0.331291,0,0,0,582.358
70,1960-12-10,00:00:00.00,0.331291,0,0,0,582.358
71,1960-12-11,00:00:00.00,0.331291,0,0,0,582.358
72,1960-12-12,00:00:00.00,0.331291,0,0,0,582.358
73,1960-12-13,00:00:00.00,0.331291,0,0,0,582.358
74,1960-12-14,00:00:00.00,0.331291,0,0,0,582.358
75,1960-12-15,00:00:00.00,0.331291,0,0,0,582.358
76,1960-12-16,00:00:00.00,0.331291,0,0,0,582.358
77,1960-12-17,00:00:00.00,0.331291,0,0,0,582.358
78,1960-12-18,00:00:00.00,0.331291,0,0,0,582.358
79,1960-12-19,00:00:00.00,0.331291,0,0,0,582.358
80,1960-12-20,00:00:00.00,0.331291,0,0,0,582.358
81,1960-12-21,00:00:00.00,0.331291,0,0,0,582.358
82,1960-12-22,00:00:00.00,0.331291,0,0,0,582.358
83,1960-12-23,00:00:00.00,0.331291,0,0,0,582.358
84,1960-12-24,00:00:00.00,0.331291,0,0,0,582.358
85,1960-12-25,00:00:00.00,0.331291,0,0,0,582.358
86,1960-12-26,00:00:00.00,0.331291,0,0,0,582.358
87,1960-12-27,00:00:00.00,0.331291,0,0,0,582.358
88,1960-12-28,00:00:00.00,0.331291,0,0,0,582.358
89,1960-12-29,00:00:00.00,0.331291,0,0,0,582.358
90,1960-12-30,00:00:00.00,0.331291,0,0,0,582.358
91,1960-12-31,00:00:00.00,0.331291,0,0,0,582.358
92,1961-01-01,00:00:00.00,0.331291,0,0,0,582.358
93,1961-01-02,00:00:00.00,0.331291,0,0,0,582.358
94,1961-01-03,00:00:00.00,0.331291,0,0,0,582.358
95,1961-01-04,00:00:00.00,0.331291,0,0,0,582.358
96,1961-01-05,00:00:00.00,0.331291,0,0,0,582.358
97,1961-01-06,00:00:00.00,0.331291,0,0,0,582.358
98,1961-01-07,00:00:00.00,0.331291,0,0,0,582.358
99,1961-01-08,00:00:00.00,0.331291,0,0,0,582.358
100,1961-01-09,00:00:00.00,0.358495,0,0,0,582.358
101,1961-01-10,00:00:00.00,0.331291,0,0,0,582.358
102,1961-01-11,00:00:00.00,0.480213,0,0,0,582.358
103,1961-01-12,00:00:00.00,0.331291,0,0,0,582.358
104,1961-01-13,00:00:00.00,0.331291,0,0,0,582.358
105,1961-01-14,00:00:00.00,0.364371,0,0,0,582.358
106,1961-01-15,00:00:00.00,0.610726,0,0,0,582.358
107,1961-01-16,00:00:00.00,0.41205,0,0,0,582.358
108,1961-01-17,00:00:00.00,0.331291,0,0,0,582.358
109,1961-01-18,00:00:00.00,0.331291,0,0,0,582.358
110,1961-01-19,00:00:00.00,0.331291,0,0,0,582.358
111,1961-01-20,00:00:00.00,0.331291,0,0,0,582.358
112,1961-01-21,00:00:00.00,0.331291,0,0,0,582.358
113,1961-01-22,00:00:00.00,0.331291,0,0,0,582.358
114,1961-01-23,00:00:00.00,0.331291,0,0,0,582.358
115,1961-01-24,00:00:00.00,0.331291,0,0,0,582.358
116,1961-01-25,00:00:00.00,0.331291,0,0,0,582.358
117,1961-01-26,00:00:00.00,0.331291,0,0,0,582.358
118,1961-01-27,00:00:00.00,0.331291,0,0,0,582.358
119,1961-01-28,00:00:00.00,0.331291,0,0,0,582.358
120,1961-01-29,00:00:00.00,0.331291,0,0,0,582.358
121,1961-01-30,00:00:00.00,0.331291,0,0,0,582.358
122,1961-01-31,00:00:00.00,0.331291,0,0,0,582.358
123,1961-02-01,00:00:00.00,0.331291,0,0,0,582.358
124,1961-02-02,00:00:00.00,0.331291,0,0,0,582.358
125,1961-02-03,00:00:00.00,0.331291,0,0,0,582.358
126,1961-02-04,00:00:00.00,0.331291,0,0,0,582.358
127,1961-02-05,00:00:00.00,0.502108,0,0,0,582.358
128,1961-02-06,00:00:00.00,0.473523,0,0,0,582.358
129,1961-02-07,00:00:00.00,0.331291,0,0,0,582.358
130,1961-02-08,00:00:00.00,0.331291,0,0,0,582.358
131,1961-02-09,00:00:00.00,0.331291,0,0,0,582.358
132,1961-02-10,00:00:00.00,0.331291,0,0,0,582.358
133,1961-02-11,00:00:00.00,0.331291,0,0,0,582.358
134,1961-02-12,00:00:00.00,0.331291,0,0,0,582.358
135,1961-02-13,00:00:00.00,0.331291,0,0,0,582.358
136,1961-02-14,00:00:00.00,0.331291,0,0,0,582.358
137,1961-02-15,00:00:00.00,0.331291,0,0,0,582.358
138,1961-02-16,00:00:00.00,0.331291,0,0,0,582.358
139,1961-02-17,00:00:00.00,0.331291,0,0,0,582.358
140,1961-02-18,00:00:00.00,0.331291,0,0,0,582.358
141,1961-02-19,00:00:00.00,0.331291,0,0,0,582.358
142,1961-02-20,00:00:00.00,0.331291,0,0,0,582.358
143,1961-02-21,00:00:00.00,0.331291,0,0,0,582.358
144,1961-02-22,00:00:00.00,0.331291,0,0,0,582.358
145,1961-02-23,00:00:00.00,0.331291,0,0,0,582.358
146,1961-02-24,00:00:00.00,0.331291,0,0,0,582.358
147,1961-02-25,00:00:00.00,0.331291,0,0,0,582.358
148,1961-02-26,00:00:00.00,0.331291,0,0,0,582.358
149,1961-02-27,00:00:00.00,0.331291,0,0,0,582.358
150,1961-02-28,00:00:00.00,0.331291,0,0,0,582.358
151,1961-03-01,00:00:00.00,0.331291,0,0,0,582.358
152,1961-03-02,00:00:00.00,0.331291,0,0,0,582.358
153,1961-03-03,00:00:00.00,0.331291,0,0,0,582.358
154,1961-03-04,00:00:00.00,0.331291,0,0,0,582.358
155,1961-03-05,00:00:00.00,0.331291,0,0,0,582.358
156,1961-03-06,00:00:00.00,0.331291,0,0,0,582.358
157,1961-03-07,00:00:00.00,0.331291,0,0,0,582.358
158,1961-03-08,00:00:00.00,0.331291,0,0,0,582.358
159,1961-03-09,00:00:00.00,0.331291,0,0,0,582.358
160,1961-03-10,00:00:00.00,0.331291,0,0,0,582.358
161,1961-03-11,00:00:00.00,0.331291,0,0,0,582.358
162,1961-03-12,00:00:00.00,0.331291,0,0,0,582.358
163,1961-03-13,00:00:00.00,0.331291,0,0,0,582.358
164,1961-03-14,00:00:00.00,0.331291,0,0,0,582.358
165,1961-03-15,00:00:00.00,0.331291,0,0,0,582.358
166,1961-03-16,00:00:00.00,0.331291,0,0,0,582.358
167,1961-03-17,00:00:00.00,0.331291,0,0,0,582.358
168,1961-03-18,00:00:00.00,0.331291,0,0,0,582.358
169,1961-03-19,00:00:00.00,0.331291,0,0,0,582.358
170,1961-03-20,00:00:00.00,0.331291,0,0,0,582.358
171,1961-03-21,00:00:00.00,0.331291,0,0,0,582.358
172,1961-03-22,00:00:00.00,0.331291,0,0,0,582.358
173,1961-03-23,00:00:00.00,0.331291,0,0,0,582.358
174,1961-03-24,00:00:00.00,0.331291,0,0,0,582.358
175,1961-03-25,00:00:00.00,0.331291,0,0,0,582.358
176,1961-03-26,00:00:00.00,0.331291,0,0,0,582.358
177,1961-03-27,00:00:00.00,0.331291,0,0,0,582.358
