time[d],date,hour,debug1,debug2,debug3,debug4,debug5
1,1984-10-02,00:00:00.00,0.914863,0,0,0,1885.63
2,1984-10-03,00:00:00.00,0.914863,0,0,0,1885.63
3,1984-10-04,00:00:00.00,0.914863,0,0,0,1885.63
4,1984-10-05,00:00:00.00,0.914863,0,0,0,1885.63
5,1984-10-06,00:00:00.00,0.914863,0,0,0,1885.63
6,1984-10-07,00:00:00.00,0.914863,0,0,0,1885.63
7,1984-10-08,00:00:00.00,0.920663,0,0,0,1885.63
8,1984-10-09,00:00:00.00,0.914863,0,0,0,1885.63
9,1984-10-10,00:00:00.00,0.914863,0,0,0,1885.63
10,1984-10-11,00:00:00.00,0.914863,0,0,0,1885.63
11,1984-10-12,00:00:00.00,0.914863,0,0,0,1885.63
12,1984-10-13,00:00:00.00,0.914863,0,0,0,1885.63
13,1984-10-14,00:00:00.00,0.914863,0,0,0,1885.63
14,1984-10-15,00:00:00.00,0.914863,0,0,0,1885.63
15,1984-10-16,00:00:00.00,0.914863,0,0,0,1885.63
16,1984-10-17,00:00:00.00,0.914863,0,0,0,1885.63
17,1984-10-18,00:00:00.00,0.914863,0,0,0,1885.63
18,1984-10-19,00:00:00.00,0.914863,0,0,0,1885.63
19,1984-10-20,00:00:00.00,0.914863,0,0,0,1885.63
20,1984-10-21,00:00:00.00,0.914863,0,0,0,1885.63
21,1984-10-22,00:00:00.00,0.914863,0,0,0,1885.63
22,1984-10-23,00:00:00.00,0.914863,0,0,0,1885.63
23,1984-10-24,00:00:00.00,0.914863,0,0,0,1885.63
24,1984-10-25,00:00:00.00,0.914863,0,0,0,1885.63
25,1984-10-26,00:00:00.00,0.914863,0,0,0,1885.63
26,1984-10-27,00:00:00.00,0.914863,0,0,0,1885.63
27,1984-10-28,00:00:00.00,0.914863,0,0,0,1885.63
28,1984-10-29,00:00:00.00,0.914863,0,0,0,1885.63
29,1984-10-30,00:00:00.00,0.914863,0,0,0,1885.63
