time[d],date,hour,debug1,debug2,debug3,debug4,debug5
1,1960-10-02,00:00:00.00,0.639174,0,0,0,1228.55
2,1960-10-03,00:00:00.00,0.639174,0,0,0,1228.55
3,1960-10-04,00:00:00.00,0.639174,0,0,0,1228.55
4,1960-10-05,00:00:00.00,0.639174,0,0,0,1228.55
5,1960-10-06,00:00:00.00,0.639174,0,0,0,1228.55
6,1960-10-07,00:00:00.00,0.639174,0,0,0,1228.55
7,1960-10-08,00:00:00.00,0.639174,0,0,0,1228.55
8,1960-10-09,00:00:00.00,0.639174,0,0,0,1228.55
9,1960-10-10,00:00:00.00,0.639174,0,0,0,1228.55
10,1960-10-11,00:00:00.00,0.639174,0,0,0,1228.55
11,1960-10-12,00:00:00.00,0.639174,0,0,0,1228.55
12,1960-10-13,00:00:00.00,0.639174,0,0,0,1228.55
13,1960-10-14,00:00:00.00,0.639174,0,0,0,1228.55
14,1960-10-15,00:00:00.00,0.639174,0,0,0,1228.55
15,1960-10-16,00:00:00.00,0.639174,0,0,0,1228.55
16,1960-10-17,00:00:00.00,0.639174,0,0,0,1228.55
17,1960-10-18,00:00:00.00,0.639174,0,0,0,1228.55
18,1960-10-19,00:00:00.00,0.639174,0,0,0,1228.55
19,1960-10-20,00:00:00.00,0.639174,0,0,0,1228.55
20,1960-10-21,00:00:00.00,0.639174,0,0,0,1228.55
21,1960-10-22,00:00:00.00,0.639174,0,0,0,1228.55
22,1960-10-23,00:00:00.00,0.639174,0,0,0,1228.55
23,1960-10-24,00:00:00.00,0.639174,0,0,0,1228.55
24,1960-10-25,00:00:00.00,0.639174,0,0,0,1228.55
25,1960-10-26,00:00:00.00,0.639174,0,0,0,1228.55
26,1960-10-27,00:00:00.00,0.639174,0,0,0,1228.55
27,1960-10-28,00:00:00.00,0.639174,0,0,0,1228.55
28,1960-10-29,00:00:00.00,0.639174,0,0,0,1228.55
29,1960-10-30,00:00:00.00,0.639174,0,0,0,1228.55
30,1960-10-31,00:00:00.00,0.639174,0,0,0,1228.55
31,1960-11-01,00:00:00.00,0.639174,0,0,0,1228.55
32,1960-11-02,00:00:00.00,0.639174,0,0,0,1228.55
33,1960-11-03,00:00:00.00,0.639174,0,0,0,1228.55
34,1960-11-04,00:00:00.00,0.639174,0,0,0,1228.55
35,1960-11-05,00:00:00.00,0.639174,0,0,0,1228.55
